,tmp,count,TF,batch
434,ZNF384_0,409,ZNF384,0
435,PGR_0,407,PGR,0
436,MAEL_0,405,MAEL,0
437,ZNF626_0,403,ZNF626,0
438,HNRNPAB_0,403,HNRNPAB,0
439,DEK_0,402,DEK,0
440,PBX4_0,399,PBX4,0
441,TLX1_0,399,TLX1,0
442,DMRT2_0,399,DMRT2,0
443,ZNF488_0,397,ZNF488,0
444,T_1,397,T,1
445,ZNF566_0,395,ZNF566,0
446,HES7_0,393,HES7,0
447,ZNF397_0,393,ZNF397,0
448,LHX9_0,392,LHX9,0
449,ZNF511_0,392,ZNF511,0
450,PAX6_0,392,PAX6,0
451,GTF3A_0,390,GTF3A,0
452,TAF10_0,389,TAF10,0
453,CBX2_0,388,CBX2,0
454,TFCP2_0,383,TFCP2,0
455,RUNX1_1,382,RUNX1,1
456,ZKSCAN1_0,380,ZKSCAN1,0
457,PTTG1_0,380,PTTG1,0
458,HNF4G_1,378,HNF4G,1
459,TCF12_0,376,TCF12,0
460,TFAP2A_0,376,TFAP2A,0
461,PDX1_0,376,PDX1,0
462,POU2F3_0,374,POU2F3,0
463,FOXR1_0,374,FOXR1,0
464,ZNF552_0,373,ZNF552,0
465,SP5_0,371,SP5,0
466,TLX3_1,371,TLX3,1
467,IRF5_0,371,IRF5,0
468,TFDP3_0,370,TFDP3,0
469,EBF1_0,370,EBF1,0
470,ID2_0,370,ID2,0
471,HMGB3_0,367,HMGB3,0
472,TCF23_0,364,TCF23,0
473,NR0B2_0,363,NR0B2,0
474,RPA2_0,362,RPA2,0
475,HSF2_0,361,HSF2,0
476,ZMIZ2_1,360,ZMIZ2,1
477,HOXB5_0,358,HOXB5,0
478,TAL1_0,357,TAL1,0
479,SOX5_0,357,SOX5,0
480,ZNF333_0,356,ZNF333,0
481,VPS72_0,353,VPS72,0
482,ZBTB8A_0,352,ZBTB8A,0
483,ZNF764_0,351,ZNF764,0
484,ISL1_0,350,ISL1,0
485,ZNF444_0,349,ZNF444,0
486,HES5_0,349,HES5,0
487,ZNF641_0,348,ZNF641,0
488,E2F2_0,347,E2F2,0
489,HOXB6_0,347,HOXB6,0
490,ZNF692_0,347,ZNF692,0
491,DAXX_1,346,DAXX,1
492,DACH2_0,346,DACH2,0
493,YWHAZ_0,343,YWHAZ,0
494,FOXP2_0,342,FOXP2,0
495,ZNF366_1,339,ZNF366,1
496,DND1_0,338,DND1,0
497,LYL1_0,338,LYL1,0
498,CREBZF_0,337,CREBZF,0
499,TAF1A_0,335,TAF1A,0
500,BCL11A_0,334,BCL11A,0
501,ZNF275_0,334,ZNF275,0
502,NFATC1_1,332,NFATC1,1
503,BARX1_1,331,BARX1,1
504,SIX2_0,330,SIX2,0
505,MYF5_0,329,MYF5,0
506,ZNF740_0,327,ZNF740,0
507,ZBTB45_0,326,ZBTB45,0
508,KLF4_0,325,KLF4,0
509,HOXC8_0,325,HOXC8,0
510,RUNX3_1,323,RUNX3,1
511,ZIK1_0,323,ZIK1,0
512,MYCN_0,322,MYCN,0
513,ZNF589_0,322,ZNF589,0
514,NMI_0,321,NMI,0
515,NR4A1_0,321,NR4A1,0
516,HINFP_0,321,HINFP,0
517,DACH1_0,319,DACH1,0
518,ZFP28_0,318,ZFP28,0
519,ZSCAN10_0,318,ZSCAN10,0
520,MXD1_0,315,MXD1,0
521,NR3C1_1,315,NR3C1,1
522,ZBTB9_0,315,ZBTB9,0
523,ZNF587B_0,315,ZNF587B,0
524,MNAT1_0,314,MNAT1,0
525,MEOX2_0,313,MEOX2,0
526,TAZ_1,313,TAZ,1
527,IRF7_0,313,IRF7,0
528,ZNF563_1,311,ZNF563,1
529,ZNF419_0,309,ZNF419,0
530,MED21_0,309,MED21,0
531,ZSCAN18_0,307,ZSCAN18,0
532,SPI1_0,306,SPI1,0
533,HOXA5_0,304,HOXA5,0
534,HIF1A_1,304,HIF1A,1
535,ZNF683_0,304,ZNF683,0
536,ZNF620_0,304,ZNF620,0
537,NR2E3_0,303,NR2E3,0
538,DMAP1_0,303,DMAP1,0
539,MXD3_0,303,MXD3,0
540,TFAP2E_1,302,TFAP2E,1
541,OLIG3_0,301,OLIG3,0
542,GATA4_0,300,GATA4,0
543,DMRT3_0,298,DMRT3,0
544,NONO_0,298,NONO,0
545,HOXA10_0,297,HOXA10,0
546,ZBTB49_0,297,ZBTB49,0
547,ZNF253_1,295,ZNF253,1
548,ZKSCAN3_0,293,ZKSCAN3,0
549,PKNOX1_0,291,PKNOX1,0
550,KAT7_0,291,KAT7,0
551,ZFP82_1,290,ZFP82,1
552,KLF16_0,290,KLF16,0
553,PAX4_0,289,PAX4,0
554,ZNF581_0,288,ZNF581,0
555,ENO1_0,287,ENO1,0
556,MYOG_0,287,MYOG,0
557,GTF2A1L_0,282,GTF2A1L,0
558,ZNF79_0,282,ZNF79,0
559,RXRB_0,280,RXRB,0
560,ERCC8_0,279,ERCC8,0
561,TBX10_0,277,TBX10,0
562,PIAS3_0,275,PIAS3,0
563,TCF7L2_0,274,TCF7L2,0
564,ATF1_0,273,ATF1,0
565,PKNOX2_0,272,PKNOX2,0
566,PGR_1,272,PGR,1
567,ATOH8_0,272,ATOH8,0
568,TAF9_0,269,TAF9,0
569,FOXP4_0,268,FOXP4,0
570,GTF2I_0,267,GTF2I,0
571,MKX_0,267,MKX,0
572,HOXD11_1,266,HOXD11,1
573,RARA_0,264,RARA,0
574,TPRX1_0,264,TPRX1,0
575,DDB2_0,264,DDB2,0
576,ZNF696_0,263,ZNF696,0
577,POU1F1_0,263,POU1F1,0
578,NFKBID_0,262,NFKBID,0
579,PLAGL1_0,262,PLAGL1,0
580,EOMES_0,261,EOMES,0
581,ZNF394_1,261,ZNF394,1
582,CRX_0,261,CRX,0
583,ZSCAN5A_0,260,ZSCAN5A,0
584,ZNF664_0,260,ZNF664,0
585,ZNF784_0,259,ZNF784,0
586,ARID5A_0,258,ARID5A,0
587,NKRF_1,257,NKRF,1
588,RUNX2_0,256,RUNX2,0
589,ACTL6A_0,255,ACTL6A,0
590,GRHL1_0,255,GRHL1,0
591,SNAI1_0,254,SNAI1,0
592,NR2E1_0,253,NR2E1,0
593,NRL_0,252,NRL,0
594,CDCA7L_0,252,CDCA7L,0
595,ZNF410_0,252,ZNF410,0
596,HOXC9_0,252,HOXC9,0
597,TCF4_1,251,TCF4,1
598,TFCP2L1_0,251,TFCP2L1,0
599,THAP10_0,250,THAP10,0
600,MESP1_1,248,MESP1,1
601,ZNF576_0,246,ZNF576,0
602,MMP3_0,246,MMP3,0
603,NKX2-5_1,246,NKX2-5,1
604,SETDB1_0,246,SETDB1,0
605,ZNF621_1,245,ZNF621,1
606,TADA2B_0,244,TADA2B,0
607,SATB1_1,241,SATB1,1
608,AR_0,241,AR,0
609,TAF7_0,236,TAF7,0
610,ILF3_0,235,ILF3,0
611,ZSCAN1_0,235,ZSCAN1,0
612,UBP1_0,234,UBP1,0
613,EGR4_0,234,EGR4,0
614,SMARCE1_0,233,SMARCE1,0
615,ZNF579_0,232,ZNF579,0
616,OXSR1_0,232,OXSR1,0
617,CREB3_0,228,CREB3,0
618,ZNF438_0,228,ZNF438,0
619,GLIS1_1,227,GLIS1,1
620,FOXD4L4_0,227,FOXD4L4,0
621,IRF2_1,226,IRF2,1
622,ZNF648_0,226,ZNF648,0
623,PROX2_0,225,PROX2,0
624,EBF3_0,225,EBF3,0
625,ATF5_0,225,ATF5,0
626,SNAI3_0,223,SNAI3,0
627,MTA2_0,223,MTA2,0
628,JUNB_0,223,JUNB,0
629,ZNF524_0,221,ZNF524,0
630,TUB_0,220,TUB,0
631,ATF6B_0,220,ATF6B,0
632,HOXA2_0,220,HOXA2,0
633,OSR1_0,220,OSR1,0
634,MYF6_0,219,MYF6,0
635,PTF1A_0,218,PTF1A,0
636,PCGF2_0,217,PCGF2,0
637,NKX2-6_1,215,NKX2-6,1
638,POU3F4_0,215,POU3F4,0
639,ZNF8_1,214,ZNF8,1
640,PAX1_0,213,PAX1,0
641,ESRRB_0,213,ESRRB,0
642,ZNF80_0,212,ZNF80,0
643,ZNF398_0,212,ZNF398,0
644,TEAD1_0,211,TEAD1,0
645,ZNF48_0,210,ZNF48,0
646,DMRTA2_1,210,DMRTA2,1
647,NFKBIE_0,209,NFKBIE,0
648,ZNF232_0,208,ZNF232,0
649,PSIP1_0,208,PSIP1,0
650,ZNF280C_1,207,ZNF280C,1
651,EGR3_1,206,EGR3,1
652,RXRG_0,205,RXRG,0
653,ZNF707_0,205,ZNF707,0
654,APEX1_0,204,APEX1,0
655,SOX30_0,203,SOX30,0
656,NOBOX_0,203,NOBOX,0
657,DPF2_0,201,DPF2,0
658,THRB_1,201,THRB,1
659,RBPJ_0,201,RBPJ,0
660,TCF3_0,201,TCF3,0
661,ELK1_0,201,ELK1,0
662,E2F4_0,201,E2F4,0
663,TWIST1_0,200,TWIST1,0
664,RUNX1T1_0,200,RUNX1T1,0
665,STAT6_0,198,STAT6,0
666,ZNF500_0,198,ZNF500,0
667,MIXL1_0,197,MIXL1,0
668,HOXD10_0,197,HOXD10,0
669,DCP1A_0,197,DCP1A,0
670,PSMB1_0,197,PSMB1,0
671,ZNF146_0,196,ZNF146,0
672,ZZZ3_0,196,ZZZ3,0
673,TADA3_0,195,TADA3,0
674,ZNF281_1,195,ZNF281,1
675,NR1D2_1,194,NR1D2,1
676,VDR_0,193,VDR,0
677,GSC_1,190,GSC,1
678,TULP1_0,190,TULP1,0
679,ZNF418_1,188,ZNF418,1
680,NOTO_0,188,NOTO,0
