,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
ADAMTSL1,0.0008617918,0.0007240557,0.0023619032,0.0040312125,0.0015227719,-9.261696e-05,0.006101563,0.0008855669,-0.00016928227,-5.9530263e-05,0.0019016025,-0.0014185294,-0.0031646302,0.000952559,-0.00566604,0.0009057589,0.0005050911,0.0026186213,-0.0067148223,0.0026239473,-0.0031383424,0.00050590327,-0.0010488969,-0.0017555209,0.00027272457,0.0021084056,0.0012228704,0.013241008
ADAMTSL5,0.0008176338,-0.0037534065,-0.00049543637,-0.00060470536,0.0008134487,0.0010526252,0.00012701847,-0.0023785753,0.0005148352,0.0025249138,0.00059484394,0.00040675784,-0.0028116405,0.0013590202,0.0011317271,-0.0005515823,0.00027908827,-0.0009070667,-0.0009199505,-0.00083012437,-0.00057546125,0.00066147593,-0.0005074647,-0.0005406832,0.003439685,0.001026529,0.0013005965,-0.0014869516
ADARB1,-0.0024685448,0.005866562,0.0013449643,0.0072705457,-0.0013353539,-0.0024442554,0.0061612683,0.0056548542,-0.0025305366,-0.010032373,-0.0054615093,-0.004790816,0.0072315615,-0.0024755497,-0.0040753386,0.0031647887,-0.0009858221,0.0041182097,-0.008284752,0.0035353878,0.0041120653,-0.0013061916,0.0060297796,0.00032325016,0.001872995,-0.0015987247,-0.003105194,0.013294537
ADARB2,-0.0013106805,-0.0002158315,-0.0013531672,0.006569451,0.002581001,-0.00059234415,0.005483316,7.628318e-05,-0.000820871,-0.0031936904,0.00078315125,-0.0015333794,0.0040785307,-0.0028872017,0.002283625,0.0021981935,-0.0030432588,0.0036993315,-0.012802036,0.0023252503,0.0024045224,0.001243335,-0.0013449548,-0.00028691188,-0.0012142295,-0.0013205521,0.0001154895,0.016006187
ADCY2,-0.0011619176,-0.00015603213,0.0045135627,0.01621186,0.0012385687,0.0007526284,0.015184654,-0.002811812,-0.0030156383,-9.499187e-06,0.004674255,-0.0007018014,0.00048635504,0.00033373848,-0.0094793765,0.004737819,0.0007840925,0.010079804,-0.025359802,0.0038282785,-0.0003277776,-0.0039908015,-0.0012243883,-0.0054057594,0.0006302786,-0.0016897346,0.0023887693,0.03112021
ADGRB3,-0.00026063155,-0.0022525485,0.0043301154,0.014379157,0.003849191,-0.0011752937,0.0148397805,-0.00053825567,-0.0020258236,-0.0034737966,0.004165985,-0.00090694736,0.004616984,-0.0021269189,-0.0030087908,0.0044842414,-0.0014621641,0.006730533,-0.021453505,0.0034778132,0.004887938,0.00016052855,0.0019897588,-0.004929665,-0.0029290484,-0.0031757785,-0.0025049564,0.028091589
ADGRE1,0.00022670193,-0.00010881379,-0.00014370786,-0.0004524803,0.00020473934,0.0011086066,-0.0009724241,-0.0012802434,-0.00088956236,0.0017563534,-0.0005431192,0.0012348074,-0.00030843343,0.001791534,-0.0015227619,-0.00057418295,0.0022987078,0.00037529733,0.00015744337,0.001279191,0.0010741478,-0.00062829215,0.0008320046,-0.0009948523,0.001524042,-2.659667e-05,0.0010061973,-0.0007160389
ADGRF2,0.0008257171,-0.0004436003,-0.0034114143,-0.0034770274,0.0004320923,0.00059899985,-0.0032153877,-0.0016937158,-0.0015656298,0.00096326787,-0.001961428,-0.0006591879,-0.00058661425,-0.0010349988,0.0014699898,-0.0004568511,0.00078199763,-0.00035271377,0.00145759,0.0008956473,0.00040535862,0.0011862969,0.00091737683,0.00017750323,0.000459242,-0.0023017232,0.0011969897,-0.003067195
ADGRF5,0.0015189042,-2.9314786e-05,-0.0010217747,-0.0021720491,-0.0012739709,-0.00067909027,0.00046955282,-0.0025491395,-0.00061114476,-0.0017142002,-0.0003330883,5.8616537e-05,-0.0012947887,-3.8062506e-05,0.0021758245,0.0012905818,-0.000642415,0.00093694415,0.0013029051,0.002511988,0.001131134,8.7917535e-05,-0.00016288184,-0.00025441727,0.0016723083,-0.00059464783,0.0004267483,0.00028275014
ADGRG1,-0.0007533145,-0.00012593636,0.001136699,0.0021141334,0.0010191072,0.000627848,0.0018275301,0.0052335425,0.003741544,-0.0016424367,-0.0022769053,0.0055703274,-0.0006861104,-0.0002254644,-0.0007744797,0.001498185,-0.004635852,0.0030569148,-0.0017598011,0.0022130068,-0.0013693909,-0.0022361728,-0.0008687149,-0.0037833145,0.0019342945,-0.0030242607,-0.0016949789,0.00011143571
