,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35
SIPA1L2,-0.0044008824,0.0038875935,-0.007970164,0.0006522661,0.008909463,0.00031627392,-0.003153708,-0.0071672066,-0.0068802345,-0.0020735385,-0.004192989,0.004023847,0.0016002662,0.0038895684,0.0055562397,-0.00059099856,0.00073469046,-0.0084902095,-0.009790507,-0.0046354467,-0.008176011,0.004161545,0.0030192942,0.009297759,-0.0017885852,0.006026987,0.012722318,0.0135860285,-0.0034296776,0.016077051,0.0022613015,-0.003540368,0.0005763146,0.0076147066,-0.010742109,-0.004430541
SIRPB1,0.002159326,0.0021936435,-0.00090327597,-0.00031734208,0.00072704797,0.0025499861,-0.0017267441,0.0013221898,9.9377496e-05,-0.0036915815,-0.0015733017,0.0016379899,5.5836226e-05,0.000667953,-7.9603546e-05,0.0006566868,0.0031808459,-0.002248551,0.004620323,0.0066389386,0.0018061729,-0.0015439121,-0.0037800046,0.001032031,0.004574497,0.00046640015,-0.0037262912,-0.0005479058,-0.003809773,-0.0012259396,-0.00046641953,0.0035597077,0.0013151008,0.0017999002,0.002210319,0.00229422
SIRPB2,0.0019122728,-0.0012875661,0.0015122048,0.00229262,0.001416512,0.00029206628,0.0008823152,0.0029488748,-0.00036981108,-0.0018367182,0.0002549226,-0.00014175187,-0.00050224544,0.0007656424,-0.001950252,0.00040843207,0.0001830178,0.00048675155,0.0019002093,-0.0014008181,0.0018022377,0.0021657895,-0.00020722534,-0.0017469213,0.00078201917,-0.001701735,0.00085682503,0.0012137616,-7.321609e-05,0.0026241592,0.00034256725,-0.002137932,0.0025497838,-2.1470689e-05,0.0013495834,0.0025214066
SIT1,-0.0034938601,0.00027800773,0.0021648202,-0.0032525228,-0.0020372018,-0.0018773756,-0.00028031727,-0.0026354636,-0.00031288856,0.00030292926,-0.005885998,0.0014099907,0.00393334,-0.00078767486,-0.0028117073,-0.0049503664,0.002428068,0.0035832673,0.0020423958,0.0046944474,0.00014474115,-0.0013556393,-0.0024961347,-0.0024387564,-0.0026760553,0.002362724,-0.003354726,0.0039416295,-0.00061202305,-0.00056820555,-0.001496825,0.00094580866,-0.0036689949,-0.004050819,-0.0012503436,0.0015604084
SIX6,0.011000298,-0.009286318,0.029777844,0.01622139,0.016805954,0.0031024276,0.013976544,-0.013235386,0.0065313643,-0.09024641,-0.05892765,-0.050781477,0.05628608,-0.080330625,0.102473505,0.024298979,0.06951572,0.11785608,-0.052741718,0.11245374,-0.116821304,0.012133982,0.066007644,-0.024012946,0.06136883,-0.037358247,0.03292271,-0.05175286,0.09168508,-0.12003383,-0.040770885,-0.037854545,0.004061095,-0.0016468222,-0.096781984,0.04669135
SLA,0.00072600745,0.0023269847,0.003910585,-0.0019708537,-0.0009686947,-0.00092474854,0.00090962293,0.0015607039,0.0012791873,0.0053541926,-0.0034726684,-0.0019904322,0.0029398764,0.0015994785,0.0028405297,0.00073638133,-0.004139231,-0.003351471,0.0011359311,0.0012146593,0.0018798877,0.00073182804,0.0036829927,-0.0003157221,-0.0019852943,-0.00070613186,0.0028155278,-0.0010117479,-0.0005874718,-0.0024590471,-0.0018327672,0.0010639624,0.0027560343,-0.0029283331,-0.00033659962,-0.0012360703
SLAIN1,0.00057435984,0.005147645,-0.0041476567,-0.0024608967,-4.3908225e-05,0.007027843,-0.001237677,-0.0071632573,0.0021291482,-0.0016515619,-0.002583187,-0.0039605284,0.0032389732,0.0034186658,0.0060335808,0.00011875449,0.0009195628,-0.0020230857,-0.0047912556,4.249643e-05,-0.006858172,-0.0022943532,-0.00017887635,0.0041793184,-0.0030357474,-0.001928513,-0.0007663238,0.0010318055,-0.0023353542,0.00017355604,0.013679058,-0.005991633,-0.0018249131,0.0029860886,0.00784337,-0.014846786
SLAMF7,0.0014278225,-0.0030885926,0.003638967,0.0010013669,-0.00025451157,-0.0039636423,0.002746884,0.0047341185,-0.00044062248,-0.0001918454,-0.00045831385,-0.0007164394,-0.0016773479,-0.0013645318,-0.0029827335,-0.0014224398,0.0015496382,0.0004762341,0.0032051706,-0.0015160695,0.00215296,0.0028055536,-0.0009891548,-0.004405196,0.0012378911,-0.0049055046,-3.875301e-05,0.0025055648,-0.00010565094,0.0016579437,-0.0014865366,-0.00027737473,0.0016161997,-0.0004226509,-3.240532e-05,0.0024922413
SLC10A7,0.0011936706,0.00038597343,-0.0052755787,-0.0014055275,0.0027039512,0.0052153957,-0.0056393063,-0.003709272,0.0016379438,0.0035457856,-0.0033707556,0.0009909127,0.002697912,-0.0026140288,0.0058466606,-0.0033632715,0.00033110002,-0.00034796903,-0.008086076,0.0029341483,-0.004694981,-0.004486555,-0.0017027591,0.0031083927,-0.0031294003,0.00349415,-0.0006592172,0.0047893105,-0.0018084664,0.0058233575,0.0043900358,-0.0039435346,-0.0012228541,0.0008282872,-0.003089344,-0.007423523
SLC12A7,-0.0010385022,0.00489835,-0.005183366,-0.0006630851,0.00067511346,0.005158791,-0.0034843092,-0.0054062423,0.0066058384,-0.0024149725,0.0044344696,0.0012588638,0.0037776306,0.0076066363,-0.0024789532,0.003351887,-0.006280684,0.0011517729,-0.005414428,-0.0011588486,-0.005464922,-0.00052577327,0.0020167024,0.0009385427,0.00011683841,0.0061343946,-0.0032189519,0.002051238,-0.001980561,-0.00047529122,0.005882837,-0.0051806592,0.0010318646,9.579031e-05,-0.003552095,-0.006347477
